movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0049366;Invasion of the Body Snatchers;Drama,Horror,Sci-Fi;7.7;50654;417000;3000000;1956-02-05;en;12.106;based on novel or book,small town,alien,black and white,doctor,patient,alien invasion,psychiatrist,alien infection,angry mob,doppelgänger,mystery writer,emotionless,paranoid,abandoned mine,personality change
tt0049406;The Killing;Crime,Drama,Film-Noir;8.0;90397;320000;0;1956-06-06;en;10.671;corruption,adultery,robbery,horse race,husband wife relationship,way of life,sniper,ex-detainee,gangster,marriage crisis,femme fatale,film noir,heist,bag of money
tt0049470;The Man Who Knew Too Much;Drama,Thriller;7.4;65302;2500000;10250000;1956-05-16;en;11.577;london, england,assassination,scotland yard,bus,morocco,paranoia,remake,conspiracy,whodunit,american,physician,frenchman,cymbals
tt0049730;The Searchers;Adventure,Drama,Western;7.9;89948;3750000;0;1956-05-07;en;19.922;brother,uncle,racist,native american,prejudice,racism,massacre,desert,cavalry,reverend,comanche,technicolor,civil war veteran,abduction
tt0049833;The Ten Commandments;Adventure,Drama,Family;7.9;71448;13000000;122700000;1956-10-05;en;71.876;moses,israel,egypt,miracle,slavery,ten commandments,bible,epic,religion,judaism,ancient egypt,technicolor,old testament,pharaoh,passover
tt0050083;12 Angry Men;Crime,Drama;9.0;785543;350000;1000000;1957-04-10;en;30.924;judge,jurors,sultriness,death penalty,father murder,puerto rico,anonymity,court case,heat,class,innocence,court,based on play or musical,black and white,courtroom,courtroom drama,one location
tt0050212;The Bridge on the River Kwai;Adventure,Drama,War;8.2;221135;3000000;44908000;1957-10-11;en;22.224;japan,based on novel or book,resistance,river,world war ii,prisoner of war,thailand,bridge,burma,pacific war,bridge blowup
tt0050613;Throne of Blood;Drama,History;8.1;52578;0;13422;1957-01-15;ja;9.985;japan,prophecy,based on novel or book,samurai,castle,ambition,betrayal,plot,ghost,feudal lord,feudal japan
tt0050825;Paths of Glory;Drama,War;8.4;197568;935000;0;1957-10-25;en;15.828;germany,france,based on novel or book,general,patriotism,world war i,army,idealism,cowardice,idealist,black and white,soldier,cult film,anti war,1910s,fighting the system
tt0050976;The Seventh Seal;Drama,Fantasy;8.1;185588;0;0;1957-02-16;sv;19.119;chess,countryside,witch,blacksmith,allegory,symbolism,artist,last judgment,crusade,juggler,witch burning,sense of life,dying and death,grim reaper,demon,middle ages,black death,playing chess,death personified,death incarnate,14th century
tt0050986;Wild Strawberries;Drama,Romance;8.1;107763;0;0;1957-12-26;sv;12.233;adultery,identity,dream,journey in the past,professor,nightmare,aging,faith,road trip,child,acceptance
tt0051201;Witness for the Prosecution;Crime,Drama,Mystery;8.4;125696;3000000;9000000;1957-12-17;en;13.847;nurse,alibi,cigarette,letter,widow,murder,lawyer,trial,courtroom,murder mystery,tiki culture
tt0052311;Touch of Evil;Crime,Drama,Film-Noir;8.0;105002;829000;2247500;1958-03-30;en;12.945;hotel,brothel,border,honeymoon,gangster,investigation,usa–mexico border,car bomb,film noir,long take,black and white
tt0052357;Vertigo;Mystery,Romance,Thriller;8.3;401992;2479000;7797728;1958-05-28;en;38.357;san francisco, california,detective,sense of guilt,bachelor,obsession,love of one's life,vertigo,museum,necklace,grave,plan,painting,film noir,psychological thriller,fear of heights
tt0052561;Anatomy of a Murder;Drama,Mystery;8.0;66829;2000000;8000000;1959-07-01;en;14.37;rape,adultery,based on novel or book,jealousy,michigan,judge,hays code,jazz,jurors,court case,lawyer,trial,courtroom,murder trial,courtroom drama
tt0052618;Ben-Hur;Adventure,Drama;8.1;239663;15000000;164000000;1959-11-18;en;45.272;christianity,middle east,based on novel or book,roman empire,jewish life,jew persecution,miracle,roman,prince,chariot race,leprosy,jerusalem, israel,ancient rome,governor,politics,epic,love,friends,remake,revenge,religious conversion,religion,redemption,judaism,historical fiction,period drama,dungeon,galley,hatred,sheikh,sea battle,jewish family,galley slave,false inprisonment,childhood sweetheart,salvation,1st century,jesus christ,judea,subjugated people
tt0053125;North by Northwest;Action,Adventure,Mystery;8.3;327954;4000000;13275000;1959-07-08;en;16.857;new york city,assassination,spy,undercover agent,romance,mistaken identity,on the run,fugitive,espionage,advertising,framed,government agent,framed for murder
tt0053198;The 400 Blows;Crime,Drama;8.1;118405;0;0;1959-06-03;fr;12.161;paris, france,delinquent,fondling,coming of age,fingerprint,semi autobiographical,skipping school,mugshot,strict teacher,montmartre paris
tt0053221;Rio Bravo;Western;8.0;63078;0;5800000;1959-03-17;en;20.59;sheriff,small town,gun,marshal,texas,deputy,murder,jail,alcoholic,stagecoach,gambler,cripple,based on short story,gunfighter,technicolor,two guns belt
tt0053285;Sleeping Beauty;Adventure,Animation,Family;7.2;149801;6000000;51600000;1959-02-17;en;69.753;sleep,magic,fairy,prince,castle,fairy tale,kingdom,musical,kiss,princess,knight,dragon,dungeon,based on fairy tale
tt0053291;Some Like It Hot;Comedy,Music,Romance;8.2;267455;2883848;25000000;1959-03-19;en;25.076;chicago, illinois,florida,witness,musician,mafia,cross dressing,black and white,train,buddy,spats,all girl band,st. valentine's day massacre,sugar,valentine's day,dressing
tt0053472;Breathless;Crime,Drama;7.7;82351;0;0;1960-03-16;fr;12.99;paris, france,loss of loved one,journalist,car thief,marseille, france,journalism,newspaper,smoking,hotel room,gun,fight,dying and death,friendship,financial transactions,extramarital affair,french noir,nouvelle vague
